"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","LogIn from the page footer Positive","","0","0","1","0","0"
"","Invite manually via email and sms Negative","","0","0","7","0","0"
"","Subscribe Negative","","0","0","9","0","0"
"","Post project with account Positive","","0","1","1","0","0"
"","Post project with account Negative","","1","0","10","0","0"
"","Search Freelancers","","0","0","3","0","0"
"","Search projects Functionality","","1","0","8","0","0"
"","LogIn from the page header Negative","","0","0","5","0","0"
"","Post project without account Positive","","0","1","0","0","0"
"","Post project without account Negative","","0","0","11","0","0"
"","LogIn from the page footer Negative","","0","0","5","0","0"
"","","","1","0","2","0","0"
"","Reset password Positive","","1","0","0","0","0"
"","Invite manually via email and sms Positive","","0","1","0","0","0"
"","Send contact","","0","0","1","0","0"
"","Subscribe Positive","","0","0","1","0","0"
"","Reset password Negative","","0","0","2","0","0"
"","Invite freelance","","1","0","0","0","0"
"","LogIn from the page header Positive","","0","0","1","0","0"
